"Date","Inbound","Peak","Outbound","Peak"
"2020-10-03 03:20:00","2.1535456182e+10","2.1535456182e+10","3.7587979261e+10","3.7587979261e+10"
"2020-10-03 03:25:00","2.6369638023e+10","2.6369638023e+10","3.2958268969e+10","3.2958268969e+10"
"2020-10-03 03:30:00","2.7986503337e+10","2.7986503337e+10","3.0866824638e+10","3.0866824638e+10"
"2020-10-03 03:35:00","3.0422786012e+10","3.0422786012e+10","3.1472908283e+10","3.1472908283e+10"
"2020-10-03 03:40:00","4.3991846345e+10","4.3991846345e+10","2.9002952098e+10","2.9002952098e+10"
"2020-10-03 03:45:00","4.0791093368e+10","4.0791093368e+10","2.9110974487e+10","2.9110974487e+10"
"2020-10-03 03:50:00","3.8254134143e+10","3.8254134143e+10","2.8915691728e+10","2.8915691728e+10"
"2020-10-03 03:55:00","3.1641515115e+10","3.1641515115e+10","2.7304666239e+10","2.7304666239e+10"
"2020-10-03 04:00:00","4.0339772897e+10","4.0339772897e+10","2.6773036482e+10","2.6773036482e+10"
"2020-10-03 04:05:00","3.6292731285e+10","3.6292731285e+10","2.8330856024e+10","2.8330856024e+10"
"2020-10-03 04:10:00","2.6488520702e+10","2.6488520702e+10","2.7579693270e+10","2.7579693270e+10"
"2020-10-03 04:15:00","2.6277603745e+10","2.6277603745e+10","2.5253449005e+10","2.5253449005e+10"
"2020-10-03 04:20:00","2.7960703321e+10","2.7960703321e+10","2.6853178256e+10","2.6853178256e+10"
"2020-10-03 04:25:00","2.5951041105e+10","2.5951041105e+10","2.5310734330e+10","2.5310734330e+10"
"2020-10-03 04:30:00","3.1535279347e+10","3.1535279347e+10","2.6358399478e+10","2.6358399478e+10"
"2020-10-03 04:35:00","2.6112738536e+10","2.6112738536e+10","2.5948738173e+10","2.5948738173e+10"
"2020-10-03 04:40:00","2.3528124389e+10","2.3528124389e+10","2.4045071044e+10","2.4045071044e+10"
"2020-10-03 04:45:00","3.0401412454e+10","3.0401412454e+10","2.6187858654e+10","2.6187858654e+10"
"2020-10-03 04:50:00","2.9209699521e+10","2.9209699521e+10","3.4506777766e+10","3.4506777766e+10"
"2020-10-03 04:55:00","2.5168445671e+10","2.5168445671e+10","2.9688354924e+10","2.9688354924e+10"
"2020-10-03 05:00:00","2.3482170039e+10","2.3482170039e+10","2.5276186916e+10","2.5276186916e+10"
"2020-10-03 05:05:00","2.4048993078e+10","2.4048993078e+10","2.4925637622e+10","2.4925637622e+10"
"2020-10-03 05:10:00","2.4131181561e+10","2.4131181561e+10","2.4178201942e+10","2.4178201942e+10"
"2020-10-03 05:15:00","2.5202966436e+10","2.5202966436e+10","2.1907632669e+10","2.1907632669e+10"
"2020-10-03 05:20:00","2.5709905629e+10","2.5709905629e+10","2.2633367545e+10","2.2633367545e+10"
"2020-10-03 05:25:00","2.5057455752e+10","2.5057455752e+10","2.3699088966e+10","2.3699088966e+10"
"2020-10-03 05:30:00","2.7171520593e+10","2.7171520593e+10","2.8796672512e+10","2.8796672512e+10"
"2020-10-03 05:35:00","3.1826762966e+10","3.1826762966e+10","3.0317004766e+10","3.0317004766e+10"
"2020-10-03 05:40:00","3.0826492032e+10","3.0826492032e+10","3.5051537256e+10","3.5051537256e+10"
"2020-10-03 05:45:00","2.9353620343e+10","2.9353620343e+10","3.5150697932e+10","3.5150697932e+10"
"2020-10-03 05:50:00","3.5527981671e+10","3.5527981671e+10","3.4389532463e+10","3.4389532463e+10"
"2020-10-03 05:55:00","4.2566137335e+10","4.2566137335e+10","3.9411506384e+10","3.9411506384e+10"
"2020-10-03 06:00:00","4.0117800369e+10","4.0117800369e+10","3.2911608920e+10","3.2911608920e+10"
"2020-10-03 06:05:00","3.5900093236e+10","3.5900093236e+10","3.5044819110e+10","3.5044819110e+10"
"2020-10-03 06:10:00","3.1170738155e+10","3.1170738155e+10","3.4898084576e+10","3.4898084576e+10"
"2020-10-03 06:15:00","3.0070294821e+10","3.0070294821e+10","4.4585603546e+10","4.4585603546e+10"
"2020-10-03 06:20:00","2.2853201087e+10","2.2853201087e+10","3.5225161433e+10","3.5225161433e+10"
"2020-10-03 06:25:00","2.1944506799e+10","2.1944506799e+10","3.9385599393e+10","3.9385599393e+10"
"2020-10-03 06:30:00","2.1813996824e+10","2.1813996824e+10","4.7555831348e+10","4.7555831348e+10"
"2020-10-03 06:35:00","2.5023913284e+10","2.5023913284e+10","5.4603088274e+10","5.4603088274e+10"
"2020-10-03 06:40:00","2.7255584483e+10","2.7255584483e+10","3.3019670798e+10","3.3019670798e+10"
"2020-10-03 06:45:00","3.0521859682e+10","3.0521859682e+10","2.8789047393e+10","2.8789047393e+10"
"2020-10-03 06:50:00","3.7635645371e+10","3.7635645371e+10","2.4228004530e+10","2.4228004530e+10"
"2020-10-03 06:55:00","3.3335166846e+10","3.3335166846e+10","2.5911020789e+10","2.5911020789e+10"
"2020-10-03 07:00:00","2.6401268389e+10","2.6401268389e+10","2.7914010327e+10","2.7914010327e+10"
"2020-10-03 07:05:00","2.9668845925e+10","2.9668845925e+10","2.7211361742e+10","2.7211361742e+10"
"2020-10-03 07:10:00","2.6224023304e+10","2.6224023304e+10","2.3005550659e+10","2.3005550659e+10"
"2020-10-03 07:15:00","2.5184257555e+10","2.5184257555e+10","2.1147618535e+10","2.1147618535e+10"
